record_id,page_key,slot_id,family,page_type,sort_order,target_keyword,page_title,url_slug,approval_status,content_status,instruction_ref,instruction_in_control_table,inferred_parent_slot,coverage_class,flags
reckE2bFOdk5J35RM,1dev-ai-coding-services/svc-cat08-04,svc-cat08-04,svc,SVC-CHILD,804,first-customer feature builds,First-Customer Feature Builds,first-customer-feature-builds,approved,todo,INS-SVC-CHILD,yes,svc-cat08-hub,summary_based_draft_full_compliance_unverified,url_slug_is_leaf_not_path|parent_inferred_from_slot_id_only
recVlfCLi4czgQSNd,1dev-ai-coding-services/svc-cat08-05,svc-cat08-05,svc,SVC-CHILD,805,landing page plus app mvp,Landing Page Plus App MVP,landing-page-plus-app-mvp,approved,todo,INS-SVC-CHILD,yes,svc-cat08-hub,summary_based_draft_full_compliance_unverified,url_slug_is_leaf_not_path|parent_inferred_from_slot_id_only
recEBgsKqZbQSOVF5,1dev-ai-coding-services/svc-cat08-06,svc-cat08-06,svc,SVC-CHILD,806,stripe-ready mvp billing,Stripe-Ready MVP Billing,stripe-ready-mvp-billing,approved,todo,INS-SVC-CHILD,yes,svc-cat08-hub,summary_based_draft_full_compliance_unverified,url_slug_is_leaf_not_path|parent_inferred_from_slot_id_only
recpmherbuYVbNJyq,1dev-ai-coding-services/svc-cat08-07,svc-cat08-07,svc,SVC-CHILD,807,auth and onboarding for mvps,Auth and Onboarding for MVPs,auth-and-onboarding-for-mvps,approved,todo,INS-SVC-CHILD,yes,svc-cat08-hub,summary_based_draft_full_compliance_unverified,url_slug_is_leaf_not_path|parent_inferred_from_slot_id_only
rec3X4Zrsf51KIFaM,1dev-ai-coding-services/svc-cat08-08,svc-cat08-08,svc,SVC-CHILD,808,analytics-ready mvp instrumentation,Analytics-Ready MVP Instrumentation,analytics-ready-mvp-instrumentation,approved,todo,INS-SVC-CHILD,yes,svc-cat08-hub,summary_based_draft_full_compliance_unverified,url_slug_is_leaf_not_path|parent_inferred_from_slot_id_only
recu3E0Wv3cp8ibZY,1dev-ai-coding-services/svc-cat08-09,svc-cat08-09,svc,SVC-CHILD,809,pivot-friendly mvp architecture,Pivot-Friendly MVP Architecture,pivot-friendly-mvp-architecture,approved,todo,INS-SVC-CHILD,yes,svc-cat08-hub,summary_based_draft_full_compliance_unverified,url_slug_is_leaf_not_path|parent_inferred_from_slot_id_only
recq0jj04K2Nk28DI,1dev-ai-coding-services/svc-cat08-10,svc-cat08-10,svc,SVC-CHILD,810,post-mvp hardening,Post-MVP Hardening,post-mvp-hardening,approved,todo,INS-SVC-CHILD,yes,svc-cat08-hub,summary_based_draft_full_compliance_unverified,url_slug_is_leaf_not_path|parent_inferred_from_slot_id_only
rec1fTPoRymrv8j7M,1dev-ai-coding-services/svc-cat09-hub,svc-cat09-hub,svc,SVC-HUB,900,maintenance and support,Maintenance and Support,maintenance-and-support,approved,todo,INS-SVC-HUB,yes,,summary_plus_airtable_sections_labelled_draft,url_slug_is_leaf_not_path|parent_inferred_from_slot_id_only
recNEiWogOlGGNP3u,1dev-ai-coding-services/svc-cat09-01,svc-cat09-01,svc,SVC-CHILD,901,ongoing application maintenance,Ongoing Application Maintenance,ongoing-application-maintenance,approved,todo,INS-SVC-CHILD,yes,svc-cat09-hub,summary_based_draft_full_compliance_unverified,url_slug_is_leaf_not_path|parent_inferred_from_slot_id_only
reccjYXtkdnwndJ4m,1dev-ai-coding-services/svc-cat09-02,svc-cat09-02,svc,SVC-CHILD,902,bug-fix retainers,Bug-Fix Retainers,bug-fix-retainers,approved,todo,INS-SVC-CHILD,yes,svc-cat09-hub,summary_based_draft_full_compliance_unverified,url_slug_is_leaf_not_path|parent_inferred_from_slot_id_only
rechdSFCTdqykoETF,1dev-ai-coding-services/svc-cat09-03,svc-cat09-03,svc,SVC-CHILD,903,dependency and security updates,Dependency and Security Updates,dependency-and-security-updates,approved,todo,INS-SVC-CHILD,yes,svc-cat09-hub,summary_based_draft_full_compliance_unverified,url_slug_is_leaf_not_path|parent_inferred_from_slot_id_only
recdZQB5bnCNZXDyp,1dev-ai-coding-services/svc-cat09-04,svc-cat09-04,svc,SVC-CHILD,904,hosting and deploy support,Hosting and Deploy Support,hosting-and-deploy-support,approved,todo,INS-SVC-CHILD,yes,svc-cat09-hub,summary_based_draft_full_compliance_unverified,url_slug_is_leaf_not_path|parent_inferred_from_slot_id_only
recsRJpgW8EcpRBHo,1dev-ai-coding-services/svc-cat09-05,svc-cat09-05,svc,SVC-CHILD,905,performance monitoring support,Performance Monitoring Support,performance-monitoring-support,approved,todo,INS-SVC-CHILD,yes,svc-cat09-hub,summary_based_draft_full_compliance_unverified,url_slug_is_leaf_not_path|parent_inferred_from_slot_id_only
recp0C2pSFLJGdTUH,1dev-ai-coding-services/svc-cat09-06,svc-cat09-06,svc,SVC-CHILD,906,feature increment retainers,Feature Increment Retainers,feature-increment-retainers,approved,todo,INS-SVC-CHILD,yes,svc-cat09-hub,summary_based_draft_full_compliance_unverified,url_slug_is_leaf_not_path|parent_inferred_from_slot_id_only
recALxL1SlKq0TMVW,1dev-ai-coding-services/svc-cat09-07,svc-cat09-07,svc,SVC-CHILD,907,incident support windows,Incident Support Windows,incident-support-windows,approved,todo,INS-SVC-CHILD,yes,svc-cat09-hub,summary_based_draft_full_compliance_unverified,url_slug_is_leaf_not_path|parent_inferred_from_slot_id_only
rec4zeq9FlXZAWGW9,1dev-ai-coding-services/svc-cat09-08,svc-cat09-08,svc,SVC-CHILD,908,database maintenance support,Database Maintenance Support,database-maintenance-support,approved,todo,INS-SVC-CHILD,yes,svc-cat09-hub,summary_based_draft_full_compliance_unverified,url_slug_is_leaf_not_path|parent_inferred_from_slot_id_only
reczicFsNsbwpsxiJ,1dev-ai-coding-services/svc-cat09-09,svc-cat09-09,svc,SVC-CHILD,909,documentation upkeep,Documentation Upkeep,documentation-upkeep,approved,todo,INS-SVC-CHILD,yes,svc-cat09-hub,summary_based_draft_full_compliance_unverified,url_slug_is_leaf_not_path|parent_inferred_from_slot_id_only
rec3sQhWHhPtqcHhR,1dev-ai-coding-services/svc-cat09-10,svc-cat09-10,svc,SVC-CHILD,910,vendor handoff maintenance,Vendor Handoff Maintenance,vendor-handoff-maintenance,approved,todo,INS-SVC-CHILD,yes,svc-cat09-hub,summary_based_draft_full_compliance_unverified,url_slug_is_leaf_not_path|parent_inferred_from_slot_id_only
recxeboMljVjQJ64V,1dev-ai-coding-services/svc-cat10-hub,svc-cat10-hub,svc,SVC-HUB,1000,ai pair programming and training,AI Pair Programming and Training,ai-pair-programming-and-training,approved,todo,INS-SVC-HUB,yes,,summary_plus_airtable_sections_labelled_draft,url_slug_is_leaf_not_path|parent_inferred_from_slot_id_only
recOghkSR7dcq13BN,1dev-ai-coding-services/svc-cat10-01,svc-cat10-01,svc,SVC-CHILD,1001,ai pair programming sessions,AI Pair Programming Sessions,ai-pair-programming-sessions,approved,todo,INS-SVC-CHILD,yes,svc-cat10-hub,summary_based_draft_full_compliance_unverified,url_slug_is_leaf_not_path|parent_inferred_from_slot_id_only
recpjCsezMIsomwvn,1dev-ai-coding-services/svc-cat10-02,svc-cat10-02,svc,SVC-CHILD,1002,cursor and copilot workflow training,Cursor and Copilot Workflow Training,cursor-and-copilot-workflow-training,approved,todo,INS-SVC-CHILD,yes,svc-cat10-hub,summary_based_draft_full_compliance_unverified,url_slug_is_leaf_not_path|parent_inferred_from_slot_id_only
recGPSTDMt1w7BDVG,1dev-ai-coding-services/svc-cat10-03,svc-cat10-03,svc,SVC-CHILD,1003,team ai coding playbooks,Team AI Coding Playbooks,team-ai-coding-playbooks,approved,todo,INS-SVC-CHILD,yes,svc-cat10-hub,summary_based_draft_full_compliance_unverified,url_slug_is_leaf_not_path|parent_inferred_from_slot_id_only
recWDT038MLT1LjVY,1dev-ai-coding-services/svc-cat10-04,svc-cat10-04,svc,SVC-CHILD,1004,prompt engineering for developers,Prompt Engineering for Developers,prompt-engineering-for-developers,approved,todo,INS-SVC-CHILD,yes,svc-cat10-hub,summary_based_draft_full_compliance_unverified,url_slug_is_leaf_not_path|parent_inferred_from_slot_id_only
rech0mCCUv9odH8bl,1dev-ai-coding-services/svc-cat10-05,svc-cat10-05,svc,SVC-CHILD,1005,codebase onboarding with ai,Codebase Onboarding with AI,codebase-onboarding-with-ai,approved,todo,INS-SVC-CHILD,yes,svc-cat10-hub,summary_based_draft_full_compliance_unverified,url_slug_is_leaf_not_path|parent_inferred_from_slot_id_only
recxP0XNjwevA0DnB,1dev-ai-coding-services/svc-cat10-06,svc-cat10-06,svc,SVC-CHILD,1006,ai-assisted test writing training,AI-Assisted Test Writing Training,ai-assisted-test-writing-training,approved,todo,INS-SVC-CHILD,yes,svc-cat10-hub,summary_based_draft_full_compliance_unverified,url_slug_is_leaf_not_path|parent_inferred_from_slot_id_only
recr1Xu6UgN6U1WLC,1dev-ai-coding-services/svc-cat10-07,svc-cat10-07,svc,SVC-CHILD,1007,ai code review coaching,AI Code Review Coaching,ai-code-review-coaching,approved,todo,INS-SVC-CHILD,yes,svc-cat10-hub,summary_based_draft_full_compliance_unverified,url_slug_is_leaf_not_path|parent_inferred_from_slot_id_only
rec2QSS2UpOxyY7HX,1dev-ai-coding-services/svc-cat10-08,svc-cat10-08,svc,SVC-CHILD,1008,staff-augmented ai coding sprints,Staff-Augmented AI Coding Sprints,staff-augmented-ai-coding-sprints,approved,todo,INS-SVC-CHILD,yes,svc-cat10-hub,summary_based_draft_full_compliance_unverified,url_slug_is_leaf_not_path|parent_inferred_from_slot_id_only
recBOTXW7HqFawaD1,1dev-ai-coding-services/svc-cat10-09,svc-cat10-09,svc,SVC-CHILD,1009,engineering manager ai briefings,Engineering Manager AI Briefings,engineering-manager-ai-briefings,approved,todo,INS-SVC-CHILD,yes,svc-cat10-hub,summary_based_draft_full_compliance_unverified,url_slug_is_leaf_not_path|parent_inferred_from_slot_id_only
rec5mmkvHIJgEriO4,1dev-ai-coding-services/svc-cat10-10,svc-cat10-10,svc,SVC-CHILD,1010,safe ai coding policy workshops,Safe AI Coding Policy Workshops,safe-ai-coding-policy-workshops,approved,todo,INS-SVC-CHILD,yes,svc-cat10-hub,summary_based_draft_full_compliance_unverified,url_slug_is_leaf_not_path|parent_inferred_from_slot_id_only
recdf8kRNn7HcEDLb,1dev-ai-coding-services/com-cat01-hub,com-cat01-hub,com,COMP-HUB,1300,about 1dev ai coding services,About 1Dev Ai Coding Services,about-1dev,approved,todo,INS-COMP-HUB,no,,blocked_missing_instruction_and_sections,instruction_ref_not_in_Instructions_table|page_type_vocab_from_Page_Slots_not_Instructions|url_slug_is_leaf_not_path|parent_inferred_from_slot_id_only
recF9SF6rwziE71P7,1dev-ai-coding-services/com-cat01-01,com-cat01-01,com,COMP-CHILD,1301,why choose 1dev ai coding,Why Choose 1Dev,why-choose-us,approved,todo,INS-COMP-CHILD,no,com-cat01-hub,blocked_missing_instruction_and_sections,instruction_ref_not_in_Instructions_table|url_slug_is_leaf_not_path|parent_inferred_from_slot_id_only
recpP3q6HnAd5gFeT,1dev-ai-coding-services/com-cat01-02,com-cat01-02,com,COMP-CHILD,1302,1dev coding service areas,Service Areas,service-areas,approved,todo,INS-COMP-CHILD,no,com-cat01-hub,blocked_missing_instruction_and_sections,instruction_ref_not_in_Instructions_table|url_slug_is_leaf_not_path|parent_inferred_from_slot_id_only
rec9q8rrROQPi8qT4,1dev-ai-coding-services/com-cat01-form01,com-cat01-form01,com,FORM,1390,contact 1dev ai coding,Contact 1Dev,contact,approved,todo,INS-COMP-CONTACT,no,com-cat01-hub,nap_shell_only_phone_omitted,instruction_ref_not_in_Instructions_table|FORM_is_not_INS-FORMS_and_not_INS-CONTACT-PAGE|url_slug_is_leaf_not_path|parent_inferred_from_slot_id_only
rec3h9LRTRcaK6bYD,1dev-ai-coding-services/ind-cat01-hub,ind-cat01-hub,ind,IND-HUB,1400,ai development by industry,Industries,industries,approved,todo,INS-IND-HUB,no,,blocked_missing_instruction_and_sections,instruction_ref_not_in_Instructions_table|page_type_vocab_from_Page_Slots_not_Instructions|url_slug_is_leaf_not_path|parent_inferred_from_slot_id_only
recWZMyNugP4vLVgN,1dev-ai-coding-services/ind-cat01-01,ind-cat01-01,ind,IND-CHILD,1401,ai development for healthcare,Healthcare,healthcare,approved,todo,INS-IND-CHILD,no,ind-cat01-hub,blocked_missing_instruction_and_sections,instruction_ref_not_in_Instructions_table|url_slug_is_leaf_not_path|parent_inferred_from_slot_id_only
recFBdFmH8adNdn19,1dev-ai-coding-services/ind-cat01-02,ind-cat01-02,ind,IND-CHILD,1402,ai development for logistics,Logistics,logistics,approved,todo,INS-IND-CHILD,no,ind-cat01-hub,blocked_missing_instruction_and_sections,instruction_ref_not_in_Instructions_table|url_slug_is_leaf_not_path|parent_inferred_from_slot_id_only
rec12Ac1T2Mufhf5B,1dev-ai-coding-services/ind-cat01-03,ind-cat01-03,ind,IND-CHILD,1403,ai development for professional services,Professional Services,professional-services,approved,todo,INS-IND-CHILD,no,ind-cat01-hub,blocked_missing_instruction_and_sections,instruction_ref_not_in_Instructions_table|url_slug_is_leaf_not_path|parent_inferred_from_slot_id_only
recwmIKtrKg3n8bBs,1dev-ai-coding-services/ind-cat01-04,ind-cat01-04,ind,IND-CHILD,1404,ai development for ecommerce,Ecommerce,ecommerce,approved,todo,INS-IND-CHILD,no,ind-cat01-hub,blocked_missing_instruction_and_sections,instruction_ref_not_in_Instructions_table|url_slug_is_leaf_not_path|parent_inferred_from_slot_id_only
rec51pWvIT4tiSdI6,1dev-ai-coding-services/ind-cat01-05,ind-cat01-05,ind,IND-CHILD,1405,ai development for property management,Property Management,property-management,approved,todo,INS-IND-CHILD,no,ind-cat01-hub,blocked_missing_instruction_and_sections,instruction_ref_not_in_Instructions_table|url_slug_is_leaf_not_path|parent_inferred_from_slot_id_only
recHVHxzELZRa9FvL,1dev-ai-coding-services/ind-cat01-06,ind-cat01-06,ind,IND-CHILD,1406,ai development for manufacturing,Manufacturing,manufacturing,approved,todo,INS-IND-CHILD,no,ind-cat01-hub,blocked_missing_instruction_and_sections,instruction_ref_not_in_Instructions_table|url_slug_is_leaf_not_path|parent_inferred_from_slot_id_only
